,Price,Area,Num_Rooms,Num_Halls,Location_Encoded,Floor_Encoded
1803,26000,75,2.0,1.0,33058.29596412556,34.0
1804,26000,65,1.0,1.0,33058.29596412556,39.0
1805,24500,55,1.0,1.0,33058.29596412556,33.0
1806,20000,125,3.0,1.0,17895.505617977527,0.0
1807,30000,95,2.0,1.0,26196.83908045977,39.0
1808,17500,120,3.0,1.0,17511.95219123506,18.0
1809,24000,120,3.0,1.0,24028.34008097166,11.0
1810,17500,115,3.0,1.0,17669.88416988417,18.0
1811,48000,133,3.0,1.0,36896.33375474084,0.0
1812,18500,100,3.0,1.0,18485.221674876848,0.0
1813,36000,190,4.0,1.0,36000.0,21.0
1814,13500,115,3.0,1.0,13661.904761904761,33.0
1815,27000,120,3.0,1.0,36896.33375474084,18.0
1816,24000,125,3.0,1.0,23984.615384615383,0.0
1817,33000,135,3.0,1.0,33000.0,18.0
1818,15000,100,3.0,1.0,17895.505617977527,27.0
1819,44000,150,3.0,1.0,44000.0,10.0
1820,49500,150,3.0,1.0,33058.29596412556,11.0
1821,39000,200,4.0,1.0,38472.906403940884,22.0
1822,36000,140,4.0,1.0,33058.29596412556,0.0
1823,35000,120,3.0,1.0,33058.29596412556,11.0
1824,25000,70,2.0,1.0,24990.04975124378,39.0
1825,40000,115,2.0,1.0,36896.33375474084,18.0
1826,28000,120,3.0,1.0,36896.33375474084,11.0
1827,26000,75,2.0,1.0,33058.29596412556,34.0
1828,26000,65,1.0,1.0,33058.29596412556,39.0
1829,24500,55,1.0,1.0,33058.29596412556,33.0
1830,17000,85,2.0,1.0,26196.83908045977,27.0
1831,27000,120,3.0,1.0,36896.33375474084,18.0
1832,24000,125,3.0,1.0,23984.615384615383,0.0
1833,33000,135,3.0,1.0,33000.0,18.0
1834,15000,100,3.0,1.0,17895.505617977527,27.0
1835,44000,150,3.0,1.0,44000.0,10.0
1836,49500,150,3.0,1.0,33058.29596412556,11.0
1837,39000,200,4.0,1.0,38472.906403940884,22.0
1838,36000,140,4.0,1.0,33058.29596412556,0.0
1839,35000,120,3.0,1.0,33058.29596412556,11.0
1840,25000,70,2.0,1.0,24990.04975124378,39.0
1841,40000,115,2.0,1.0,36896.33375474084,18.0
1842,28000,120,3.0,1.0,36896.33375474084,11.0
1843,26000,75,2.0,1.0,33058.29596412556,34.0
1844,26000,65,1.0,1.0,33058.29596412556,39.0
1845,17000,85,2.0,1.0,26196.83908045977,27.0
1846,27000,120,3.0,1.0,36896.33375474084,18.0
1847,24000,125,3.0,1.0,23984.615384615383,0.0
1848,33000,135,3.0,1.0,33000.0,18.0
1849,15000,100,3.0,1.0,17895.505617977527,27.0
1850,44000,150,3.0,1.0,44000.0,10.0
1851,49500,150,3.0,1.0,33058.29596412556,11.0
1852,39000,200,4.0,1.0,38472.906403940884,22.0
1853,36000,140,4.0,1.0,33058.29596412556,0.0
1854,35000,120,3.0,1.0,33058.29596412556,11.0
1855,25000,70,2.0,1.0,24990.04975124378,39.0
1856,40000,115,2.0,1.0,36896.33375474084,18.0
1857,28000,120,3.0,1.0,36896.33375474084,11.0
1858,26000,75,2.0,1.0,33058.29596412556,34.0
1859,26000,65,1.0,1.0,33058.29596412556,39.0
1860,17000,85,2.0,1.0,26196.83908045977,27.0
1861,27000,120,3.0,1.0,36896.33375474084,18.0
1862,24000,125,3.0,1.0,23984.615384615383,0.0
1863,33000,135,3.0,1.0,33000.0,18.0
1864,15000,100,3.0,1.0,17895.505617977527,27.0
1865,44000,150,3.0,1.0,44000.0,10.0
1866,49500,150,3.0,1.0,33058.29596412556,11.0
1867,39000,200,4.0,1.0,38472.906403940884,22.0
1868,36000,140,4.0,1.0,33058.29596412556,0.0
1869,35000,120,3.0,1.0,33058.29596412556,11.0
1870,25000,70,2.0,1.0,24990.04975124378,39.0
1871,40000,115,2.0,1.0,36896.33375474084,18.0
1872,28000,120,3.0,1.0,36896.33375474084,11.0
1873,26000,75,2.0,1.0,33058.29596412556,34.0
1874,26000,65,1.0,1.0,33058.29596412556,39.0
1875,17000,85,2.0,1.0,26196.83908045977,27.0
1876,27000,120,3.0,1.0,36896.33375474084,18.0
1877,24000,125,3.0,1.0,23984.615384615383,0.0
1878,33000,135,3.0,1.0,33000.0,18.0
1879,15000,100,3.0,1.0,17895.505617977527,27.0
1880,44000,150,3.0,1.0,44000.0,10.0
1881,49500,150,3.0,1.0,33058.29596412556,11.0
1882,39000,200,4.0,1.0,38472.906403940884,22.0
1883,36000,140,4.0,1.0,33058.29596412556,0.0
1884,35000,120,3.0,1.0,33058.29596412556,11.0
1885,25000,70,2.0,1.0,24990.04975124378,39.0
1886,40000,115,2.0,1.0,36896.33375474084,18.0
1887,28000,120,3.0,1.0,36896.33375474084,11.0
1888,26000,75,2.0,1.0,33058.29596412556,34.0
1889,26000,65,1.0,1.0,33058.29596412556,39.0
1890,17000,85,2.0,1.0,26196.83908045977,27.0
1891,27000,120,3.0,1.0,36896.33375474084,18.0
1892,24000,125,3.0,1.0,23984.615384615383,0.0
1893,33000,135,3.0,1.0,33000.0,18.0
1894,15000,100,3.0,1.0,17895.505617977527,27.0
1895,44000,150,3.0,1.0,44000.0,10.0
1896,49500,150,3.0,1.0,33058.29596412556,11.0
1897,39000,200,4.0,1.0,38472.906403940884,22.0
1898,36000,140,4.0,1.0,33058.29596412556,0.0
1899,35000,120,3.0,1.0,33058.29596412556,11.0
1900,25000,70,2.0,1.0,24990.04975124378,39.0
1901,40000,115,2.0,1.0,36896.33375474084,18.0
1902,28000,120,3.0,1.0,36896.33375474084,11.0
1903,26000,75,2.0,1.0,33058.29596412556,34.0
1904,26000,65,1.0,1.0,33058.29596412556,39.0
1905,17000,85,2.0,1.0,26196.83908045977,27.0
1906,27000,120,3.0,1.0,36896.33375474084,18.0
1907,24000,125,3.0,1.0,23984.615384615383,0.0
1908,33000,135,3.0,1.0,33000.0,18.0
1909,15000,100,3.0,1.0,17895.505617977527,27.0
1910,44000,150,3.0,1.0,44000.0,10.0
1911,49500,150,3.0,1.0,33058.29596412556,11.0
1912,39000,200,4.0,1.0,38472.906403940884,22.0
1913,36000,140,4.0,1.0,33058.29596412556,0.0
1914,35000,120,3.0,1.0,33058.29596412556,11.0
1915,25000,70,2.0,1.0,24990.04975124378,39.0
1916,40000,115,2.0,1.0,36896.33375474084,18.0
1917,28000,120,3.0,1.0,36896.33375474084,11.0
1918,26000,75,2.0,1.0,33058.29596412556,34.0
1919,26000,65,1.0,1.0,33058.29596412556,39.0
1920,17000,85,2.0,1.0,26196.83908045977,27.0
1921,27000,120,3.0,1.0,36896.33375474084,18.0
1922,24000,125,3.0,1.0,23984.615384615383,0.0
1923,33000,135,3.0,1.0,33000.0,18.0
1924,15000,100,3.0,1.0,17895.505617977527,27.0
1925,44000,150,3.0,1.0,44000.0,10.0
1926,49500,150,3.0,1.0,33058.29596412556,11.0
1927,39000,200,4.0,1.0,38472.906403940884,22.0
1928,36000,140,4.0,1.0,33058.29596412556,0.0
1929,35000,120,3.0,1.0,33058.29596412556,11.0
1930,25000,70,2.0,1.0,24990.04975124378,39.0
1931,40000,115,2.0,1.0,36896.33375474084,18.0
1932,28000,120,3.0,1.0,36896.33375474084,11.0
1933,26000,75,2.0,1.0,33058.29596412556,34.0
1934,26000,65,1.0,1.0,33058.29596412556,39.0
1935,17000,85,2.0,1.0,26196.83908045977,27.0
1936,27000,120,3.0,1.0,36896.33375474084,18.0
1937,24000,125,3.0,1.0,23984.615384615383,0.0
1938,33000,135,3.0,1.0,33000.0,18.0
1939,15000,100,3.0,1.0,17895.505617977527,27.0
1940,44000,150,3.0,1.0,44000.0,10.0
1941,49500,150,3.0,1.0,33058.29596412556,11.0
1942,39000,200,4.0,1.0,38472.906403940884,22.0
1943,36000,140,4.0,1.0,33058.29596412556,0.0
1944,35000,120,3.0,1.0,33058.29596412556,11.0
1945,25000,70,2.0,1.0,24990.04975124378,39.0
1946,40000,115,2.0,1.0,36896.33375474084,18.0
1947,28000,120,3.0,1.0,36896.33375474084,11.0
1948,26000,75,2.0,1.0,33058.29596412556,34.0
1949,26000,65,1.0,1.0,33058.29596412556,39.0
1950,17000,85,2.0,1.0,26196.83908045977,27.0
1951,27000,120,3.0,1.0,36896.33375474084,18.0
1952,24000,125,3.0,1.0,23984.615384615383,0.0
1953,33000,135,3.0,1.0,33000.0,18.0
1954,15000,100,3.0,1.0,17895.505617977527,27.0
1955,44000,150,3.0,1.0,44000.0,10.0
1956,49500,150,3.0,1.0,33058.29596412556,11.0
1957,39000,200,4.0,1.0,38472.906403940884,22.0
1958,36000,140,4.0,1.0,33058.29596412556,0.0
1959,35000,120,3.0,1.0,33058.29596412556,11.0
1960,25000,70,2.0,1.0,24990.04975124378,39.0
1961,40000,115,2.0,1.0,36896.33375474084,18.0
1962,28000,120,3.0,1.0,36896.33375474084,11.0
1963,26000,75,2.0,1.0,33058.29596412556,34.0
1964,26000,65,1.0,1.0,33058.29596412556,39.0
1965,17000,85,2.0,1.0,26196.83908045977,27.0
1966,27000,120,3.0,1.0,36896.33375474084,18.0
1967,24000,125,3.0,1.0,23984.615384615383,0.0
1968,33000,135,3.0,1.0,33000.0,18.0
1969,15000,100,3.0,1.0,17895.505617977527,27.0
1970,44000,150,3.0,1.0,44000.0,10.0
1971,49500,150,3.0,1.0,33058.29596412556,11.0
1972,39000,200,4.0,1.0,38472.906403940884,22.0
1973,36000,140,4.0,1.0,33058.29596412556,0.0
1974,35000,120,3.0,1.0,33058.29596412556,11.0
1975,25000,70,2.0,1.0,24990.04975124378,39.0
1976,40000,115,2.0,1.0,36896.33375474084,18.0
1977,28000,120,3.0,1.0,36896.33375474084,11.0
1978,26000,75,2.0,1.0,33058.29596412556,34.0
1979,26000,65,1.0,1.0,33058.29596412556,39.0
1980,17000,85,2.0,1.0,26196.83908045977,27.0
1981,27000,120,3.0,1.0,36896.33375474084,18.0
1982,24000,125,3.0,1.0,23984.615384615383,0.0
1983,33000,135,3.0,1.0,33000.0,18.0
1984,15000,100,3.0,1.0,17895.505617977527,27.0
1985,44000,150,3.0,1.0,44000.0,10.0
1986,49500,150,3.0,1.0,33058.29596412556,11.0
1987,39000,200,4.0,1.0,38472.906403940884,22.0
1988,36000,140,4.0,1.0,33058.29596412556,0.0
1989,35000,120,3.0,1.0,33058.29596412556,11.0
1990,25000,70,2.0,1.0,24990.04975124378,39.0
1991,40000,115,2.0,1.0,36896.33375474084,18.0
1992,28000,120,3.0,1.0,36896.33375474084,11.0
1993,26000,75,2.0,1.0,33058.29596412556,34.0
1994,26000,65,1.0,1.0,33058.29596412556,39.0
1995,17000,85,2.0,1.0,26196.83908045977,27.0
1996,27000,120,3.0,1.0,36896.33375474084,18.0
1997,24000,125,3.0,1.0,23984.615384615383,0.0
1998,33000,135,3.0,1.0,33000.0,18.0
1999,15000,100,3.0,1.0,17895.505617977527,27.0
2000,44000,150,3.0,1.0,44000.0,10.0
2001,49500,150,3.0,1.0,33058.29596412556,11.0
2002,39000,200,4.0,1.0,38472.906403940884,22.0
2003,36000,140,4.0,1.0,33058.29596412556,0.0
2004,35000,120,3.0,1.0,33058.29596412556,11.0
2005,25000,70,2.0,1.0,24990.04975124378,39.0
2006,40000,115,2.0,1.0,36896.33375474084,18.0
2007,28000,120,3.0,1.0,36896.33375474084,11.0
2008,26000,75,2.0,1.0,33058.29596412556,34.0
2009,26000,65,1.0,1.0,33058.29596412556,39.0
2010,17000,85,2.0,1.0,26196.83908045977,27.0
2011,27000,120,3.0,1.0,36896.33375474084,18.0
2012,24000,125,3.0,1.0,23984.615384615383,0.0
2013,33000,135,3.0,1.0,33000.0,18.0
2014,15000,100,3.0,1.0,17895.505617977527,27.0
2015,44000,150,3.0,1.0,44000.0,10.0
2016,49500,150,3.0,1.0,33058.29596412556,11.0
2017,39000,200,4.0,1.0,38472.906403940884,22.0
2018,36000,140,4.0,1.0,33058.29596412556,0.0
2019,35000,120,3.0,1.0,33058.29596412556,11.0
2020,25000,70,2.0,1.0,24990.04975124378,39.0
2021,40000,115,2.0,1.0,36896.33375474084,18.0
2022,28000,120,3.0,1.0,36896.33375474084,11.0
2023,26000,75,2.0,1.0,33058.29596412556,34.0
2024,26000,65,1.0,1.0,33058.29596412556,39.0
2025,17000,85,2.0,1.0,26196.83908045977,27.0
2026,27000,120,3.0,1.0,36896.33375474084,18.0
2027,24000,125,3.0,1.0,23984.615384615383,0.0
2028,33000,135,3.0,1.0,33000.0,18.0
2029,15000,100,3.0,1.0,17895.505617977527,27.0
2030,44000,150,3.0,1.0,44000.0,10.0
2031,49500,150,3.0,1.0,33058.29596412556,11.0
2032,39000,200,4.0,1.0,38472.906403940884,22.0
2033,36000,140,4.0,1.0,33058.29596412556,0.0
2034,35000,120,3.0,1.0,33058.29596412556,11.0
2035,25000,70,2.0,1.0,24990.04975124378,39.0
2036,40000,115,2.0,1.0,36896.33375474084,18.0
2037,28000,120,3.0,1.0,36896.33375474084,11.0
2038,26000,75,2.0,1.0,33058.29596412556,34.0
2039,26000,65,1.0,1.0,33058.29596412556,39.0
2040,17000,85,2.0,1.0,26196.83908045977,27.0
2041,27000,120,3.0,1.0,36896.33375474084,18.0
2042,24000,125,3.0,1.0,23984.615384615383,0.0
2043,33000,135,3.0,1.0,33000.0,18.0
2044,15000,100,3.0,1.0,17895.505617977527,27.0
2045,44000,150,3.0,1.0,44000.0,10.0
2046,49500,150,3.0,1.0,33058.29596412556,11.0
2047,39000,200,4.0,1.0,38472.906403940884,22.0
2048,36000,140,4.0,1.0,33058.29596412556,0.0
2049,35000,120,3.0,1.0,33058.29596412556,11.0
2050,25000,70,2.0,1.0,24990.04975124378,39.0
2051,40000,115,2.0,1.0,36896.33375474084,18.0
2052,28000,120,3.0,1.0,36896.33375474084,11.0
2053,26000,75,2.0,1.0,33058.29596412556,34.0
2054,26000,65,1.0,1.0,33058.29596412556,39.0
2055,17000,85,2.0,1.0,26196.83908045977,27.0
2056,27000,120,3.0,1.0,36896.33375474084,18.0
2057,24000,125,3.0,1.0,23984.615384615383,0.0
2058,33000,135,3.0,1.0,33000.0,18.0
2059,15000,100,3.0,1.0,17895.505617977527,27.0
2060,44000,150,3.0,1.0,44000.0,10.0
2061,49500,150,3.0,1.0,33058.29596412556,11.0
2062,39000,200,4.0,1.0,38472.906403940884,22.0
2063,36000,140,4.0,1.0,33058.29596412556,0.0
2064,35000,120,3.0,1.0,33058.29596412556,11.0
2065,25000,70,2.0,1.0,24990.04975124378,39.0
2066,40000,115,2.0,1.0,36896.33375474084,18.0
2067,28000,120,3.0,1.0,36896.33375474084,11.0
2068,26000,75,2.0,1.0,33058.29596412556,34.0
2069,26000,65,1.0,1.0,33058.29596412556,39.0
2070,17000,85,2.0,1.0,26196.83908045977,27.0
