,Price,Rooms,Area,Floor,Location,Num_Rooms,Num_Halls,District
3533,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
3534,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3535,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
3536,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
3537,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3538,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
3539,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
3540,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3541,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3542,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3543,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
3544,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
3545,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
3546,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
3547,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
3548,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
3549,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3550,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3551,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
3552,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
3553,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3554,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
3555,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3556,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
3557,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
3558,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3559,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
3560,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
3561,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3562,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
3563,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
3564,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3565,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3566,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3567,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
3568,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
3569,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
